ERROR CODES,PROV INTERFACE ERROR CODES,ERROR DESCRIPTION
1001,NULL,SUCCESS
2101,DEG.PROV.000,Illegal Characters present in incoming NME Attribute
2102,DEG.PROV.001,Invalid value of incoming NME Attribute
2103,DEG.PROV.003,Number Format Exception
2106,DEG.PROV.004,Null Pointer Exception
2106,DEG.PROV.005,Unsupported Operation Received
2107,DEG.PROV.006,Mandatory Field not present in incoming request
2108,DEG.PROV.007,Length check failed for the incoming NME Attribute
2202,DEG.MS.001,Subscriber already exists
2203,DEG.MS.002,Unable to update Subscriber MDN and IMSI does not exist
2206,DEG.MS.005,Duplicate Subscriber IMSI exist
2207,DEG.MS.006,Subscriber MDN and IMSI doesn't exist
2208,DEG.MS.007,Subscriber MDN doesn't exist
2302,DEG.MSS.001,Subscriber doesn't exist or inactive
2303,DEG.MSS.002,Subscriber MDN doesn't exist in DEG_SUBS_VOICE_SUBSCR
2304,DEG.MSS.003,Subscriber MDN doesn't exist in DEG_SUBS_DATA_SUBSCR
2305,DEG.MSS.004,Subscriber MDN doesn't exist in DEG_SUBS_MSG_SUBSCR
2306,DEG.MSS.005,Subscriber MDN doesn't exist in DEG_SUBS_ACCOUNT_INFO
2402,DEG.MSU.001,Subscriber doesn't exist or inactive
2403,DEG.MSU.002,Subscriber MDN doesn't exist in DEG_SUBS_VOICE_USAGE
2404,DEG.MSU.003,Subscriber MDN doesn't exist in DEG_SUBS_DATA_USAGE
2405,DEG.MSU.004,Subscriber MDN doesn't exist in DEG_SUBS_MSG_USAGE
2504,DEG.DB.003,System error while DEG_SUBSCRIBERS IMSI lookup
2505,DEG.DB.004,Unable to create entry in DEG_SUBSCRIBERS table
2506,DEG.DB.005,Unable to update entry in DEG_SUBSCRIBERS table
2507,DEG.DB.006,Unable to Delete entry from DEG_TOKENS table
2508,DEG.DB.007,Unable to Delete entry from DEG_SUBSCRIBERS table
2509,DEG.DB.008,Error in executing DelteByMDN Stored Procedure
2510,DEG.DB.009,System error while DEG_SUBSCRIBERS MDN And Secondary MDN lookup
2511,DEG.DB.010,System error while DEG_SUBSCRIBERS MDN And IMSI lookup
2512,DEG.DB.011,Unable to update entry in DEG_SUBS_VOICE_SUBSCR table
2513,DEG.DB.012,Unable to update entry in DEG_SUBS_DATA_SUBSCR table
2514,DEG.DB.013,Unable to update entry in DEG_SUBS_MSG_SUBSCR table
2515,DEG.DB.014,Unable to update entry in DEG_SUBS_ACCOUNT_INFO table
2516,DEG.DB.015,Unable to Delete entry from DEG_SUBS_VOICE_SUBSCR table
2517,DEG.DB.016,Unable to Delete entry from DEG_SUBS_DATA_SUBSCR table
2518,DEG.DB.017,Unable to Delete entry from DEG_SUBS_MSG_SUBSCR table
2519,DEG.DB.018,Unable to Delete entry from DEG_SUBS_ACCOUNT_INFO table
2520,DEG.DB.019,Error in executing AddSubscriptionsByMDN Stored Procedure
2521,DEG.DB.020,PLSQL Invalid insert error while performing ADD SUBSCRIPTION
2522,DEG.DB.021,PLSQL Out of Memory Error while performing ADD SUBSCRIPTION
2523,DEG.DB.022,PLSQL Too Many Rows Error while performing ADD SUBSCRIPTION
2524,DEG.DB.023,PLSQL Too ArrayIndex Beyond Count Error while performing ADD SUBSCRIPTION
2525,DEG.DB.024,PLSQL Too ArrayIndex Out of Bound Error while performing ADD SUBSCRIPTION
2526,DEG.DB.025,PLSQL Other Exceptions while performing ADD SUBSCRIPTION
2527,DEG.DB.026,System error while DEG_SUBSCRIBERS MDN And IMSI lookup
2528,DEG.DB.027,Error in executing AddUsageByMDN Stored Procedure
2529,DEG.DB.028,PLSQL Invalid insert error while performing ADD SUBSCRIPTION
2530,DEG.DB.029,PLSQL Out of Memory Error while performing ADD Usage
2531,DEG.DB.030,PLSQL Too Many Rows Error while performing ADD Usage
2532,DEG.DB.031,PLSQL Too ArrayIndex Beyond Count Error while performing ADD Usage
2533,DEG.DB.032,PLSQL Too ArrayIndex Out of Bound Error while performing ADD Usage
2534,DEG.DB.033,PLSQL Other Exceptions while performing ADD Usage
2535,DEG.DB.034,Unable to update entry in DEG_SUBS_VOICE_USAGE table
2536,DEG.DB.035,Unable to update entry in DEG_SUBS_DATA_USAGE table 		
2537,DEG.DB.036,Unable to update entry in DEG_SUBS_MSG_USAGE table
2538,DEG.DB.037,Unable to Delete entry from DEG_SUBS_VOICE_USAGE table
2539,DEG.DB.038,Unable to Delete entry from DEG_SUBS_DATA_USAGE table
2540,DEG.DB.039,Unable to Delete entry from DEG_SUBS_MSG_USAGE table
2541,DEG.DB.040,Unable to Delete entry from DEG_SUBSCRIBERS table
